"";"match_id";"team1";"team2";"logo1";"logo2";"group";"date";"time";"venue"
"40";40;"Iceland";"Croatia";"http://d.webgenerator24.pl/k/r/jh/hx/qvo0ibwogk4s08c8w4o4400ccwo/flag-of-iceland.svg.64.png";"http://d.webgenerator24.pl/k/r/3j/rn/prtwlmas0ss40gk0gw8sgkko4gg/chorwacja.64.jpg";"D";2018-06-26;20:00:00;"Rostov Arena"
"41";41;"Serbia";"Brazil";"http://d.webgenerator24.pl/k/r/fr/ar/98rs38ggc48wcss04sg0wgk480w/serbia.acspoofw.64.png";"http://d.webgenerator24.pl/k/r/3o/6j/yya7i9usc4kcw0c4cg08gswo48w/brazylia.64.jpg";"E";2018-06-27;20:00:00;"Spartak Stadium, Moscow"
"42";42;"Switzerland";"Costa Rica";"http://d.webgenerator24.pl/k/r/jq/2h/yz3qllw48gscwo8k08c4k0888sw/szwajcaria.64.jpg";"http://d.webgenerator24.pl/k/r/gr/t3/q88zg3k0kw8ko40kowwcok8o04w/kostaryka.64.jpg";"E";2018-06-27;20:00:00;"Nizhny Novgorod Stadium"
"43";43;"South Korea";"Germany";"http://d.webgenerator24.pl/k/r/03/8a/bjty6ftgkoc8088k4sogcwkgkcg/koreapld.64.jpg";"http://d.webgenerator24.pl/k/r/2x/ei/1i3gw42ss4k880w8o8wc844gc84/niemcy.64.jpg";"F";2018-06-27;16:00:00;"Kazan Arena, Kazan"
"44";44;"Mexico";"Sweden";"http://d.webgenerator24.pl/k/r/jl/s7/p1pcerwo0wsc84gw848ow8sko48/meksyk.64.jpg";"http://d.webgenerator24.pl/k/r/tj/wi/e0y64744sgs8cgg8k0so44wo8cg/flag-of-sweden.svg.24u5g139.64.png";"F";2018-06-27;16:00:00;"Ekaterinburg Arena"
"45";45;"England";"Belgium";"http://d.webgenerator24.pl/k/r/b2/h3/0jtk0qw40wkscs8occgs8okcck4/anglia.64.jpg";"http://d.webgenerator24.pl/k/r/pi/4s/6pvar6s0sg8gwc00o0w4wggow4o/belgia.64.jpg";"G";2018-06-28;19:00:00;"Kaliningrad Stadium"
"46";46;"Panama";"Tunisia";"http://d.webgenerator24.pl/k/r/a4/e3/umkysqw4kkcssc4sowo8000owc4/flag-of-panama.svg.64.png";"http://d.webgenerator24.pl/k/r/78/n1/aoxzpf0og8kg0o8c8sswsok8k8w.64.png";"G";2018-06-28;20:00:00;"Mordovia Arena, Saransk"
"47";47;"Japan";"Poland";"http://d.webgenerator24.pl/k/r/r3/fa/yrwz7eo4ocogw8o440w4sk8k48s/japonia.64.jpg";"http://d.webgenerator24.pl/k/r/lu/dv/zrdaps00g4cwg08gg4w0skgkocc/poland.9vgbdvhc.64.png";"H";2018-06-28;16:00:00;"Volgograd Arena"
"48";48;"Senegal";"Colombia";"http://d.webgenerator24.pl/k/r/ti/f2/l16y7sgscs88cw0sc8sk8k0kow4.64.png";"http://d.webgenerator24.pl/k/r/jx/zk/fqp2dyoocs80gckg04ocg44c8oo/kolumbia.64.jpg";"H";2018-06-28;16:00:00;"Samara Arena, Samara"
"49";49;NA;NA;NA;NA;"round of 16";2018-06-30;20:00:00;"Fisht Stadium, Sochi"
"50";50;NA;NA;NA;NA;"round of 16";2018-06-30;16:00:00;"Kazan Arena"
"51";51;NA;NA;NA;NA;"round of 16";2018-07-01;16:00:00;"Moscow - Luzhniki"
"52";52;NA;NA;NA;NA;"round of 16";2018-07-01;20:00:00;"Nizhny Novgorod"
"53";53;NA;NA;NA;NA;"round of 16";2018-07-02;16:00:00;"Samara Arena"
"54";54;NA;NA;NA;NA;"round of 16";2018-07-02;20:00:00;"Rostov Arena"
"55";55;NA;NA;NA;NA;"round of 16";2018-07-03;16:00:00;"Saint Petersburg"
"56";56;NA;NA;NA;NA;"round of 16";2018-07-03;20:00:00;"Moscow - Spartak"
"57";57;NA;NA;NA;NA;"quarter final";2018-07-06;16:00:00;"Nizhny Novgorod"
"58";58;NA;NA;NA;NA;"quarter final";2018-07-06;20:00:00;"Kazan Arena"
"59";59;NA;NA;NA;NA;"quarter final";2018-07-07;20:00:00;"Fisht Stadium, Sochi"
"60";60;NA;NA;NA;NA;"quarter final";2018-07-07;16:00:00;"Samara Arena"
"61";61;NA;NA;NA;NA;"semi final";2018-07-10;20:00:00;"Saint Petersburg"
"62";62;NA;NA;NA;NA;"semi final";2018-07-11;20:00:00;"Samara Arena"
"63";63;NA;NA;NA;NA;"third place";2018-07-14;16:00:00;"Saint Petersburg"
"64";64;NA;NA;NA;NA;"final";2018-07-15;17:00:00;"Moscow - Luzhniki"
